[INFO] program started, time: 2021-04-21 20:50:30
[DEBUG] placed coal ore in x:5 y:6, time:2021-04-21 20:50:31
[DEBUG] placed coal ore in x:10 y:7, time:2021-04-21 20:50:31
[DEBUG] placed iron ore in x:0 y:15, time:2021-04-21 20:50:31
[DEBUG] placed copper ore in x:6 y:14, time:2021-04-21 20:50:31
[DEBUG] placed tin ore in x:4 y:8, time:2021-04-21 20:50:31
[DEBUG] placed zinc ore in x:8 y:18, time:2021-04-21 20:50:31
[DEBUG] placed coal ore in x:1 y:13, time:2021-04-21 20:50:31
[DEBUG] placed coal ore in x:11 y:15, time:2021-04-21 20:50:31
[DEBUG] placed iron ore in x:0 y:10, time:2021-04-21 20:50:31
[DEBUG] placed copper ore in x:10 y:2, time:2021-04-21 20:50:31
[DEBUG] placed tin ore in x:15 y:15, time:2021-04-21 20:50:31
[DEBUG] placed zinc ore in x:15 y:8, time:2021-04-21 20:50:31
